sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
235,Open Elective,CFOC198M,Biostatistics and Design of Experiments,Online Course,1,0,0,0,0,2
236,Open Elective,CFOC199M,Medical Biomaterials,Online Course,1,0,0,0,0,2
237,Open Elective,CFOC200M,Demystifying the Brain,Online Course,1,0,0,0,0,1
238,Open Elective,CFOC201M,Principles and Applications of NMR Spectroscopy,Online Course,1,0,0,0,0,2
239,Open Elective,CFOC202M,Cell Culture Technologies,Online Course,1,0,0,0,0,2
240,Open Elective,CFOC203M,Natural Hazards,Online Course,1,0,0,0,0,2
241,Open Elective,CFOC204M,Modern Construction Materials,Online Course,1,0,0,0,0,3
242,Open Elective,CFOC205M,"Energy Efficiency, Acoustics and Daylighting in Building",Online Course,1,0,0,0,0,3
243,Open Elective,CFOC206M,"Fire Protection, Services and Maintenance Management of Building",Online Course,1,0,0,0,0,3
244,Open Elective,CFOC207M,Electronic Waste Management - Issues And Challenges,Online Course,1,0,0,0,0,1
245,Open Elective,CFOC208M,Higher Surveying,Online Course,1,0,0,0,0,3
246,Open Elective,CFOC209M,Environmental Remediation of Contaminated Sites,Online Course,1,0,0,0,0,3
247,Open Elective,CFOC210M,Soil Structure Interaction,Online Course,1,0,0,0,0,3
248,Open Elective,CFOC211M,Introduction to Accounting and Finance for Civil Engineers,Online Course,1,0,0,0,0,2
249,Open Elective,CFOC212M,Scheduling Techniques in Projects,Online Course,1,0,0,0,0,1
250,Open Elective,CFOC213M,GPS Surveying,Online Course,1,0,0,0,0,1
251,Open Elective,CFOC214M,Sustainable Materials and Green Buildings,Online Course,1,0,0,0,0,3
252,Open Elective,CFOC215M,Geomorphic Processes: Landforms and Landscapes,Online Course,1,0,0,0,0,2
253,Open Elective,CFOC216M,Introduction To Process Modeling in the Membrane Separation Process,Online Course,1,0,0,0,0,1
254,Open Elective,CFOC217M,Computational Geometry,Online Course,1,0,0,0,0,3
255,Open Elective,CFOC218M,Compiler Design,Online Course,1,0,0,0,0,3
256,Open Elective,CFOC219M,Embedded System Design with ARM,Online Course,1,0,0,0,0,2
257,Open Elective,CFOC220M,VLSI Physical Design,Online Course,1,0,0,0,0,3
258,Open Elective,CFOC221M,Cloud computing,Online Course,1,0,0,0,0,2
259,Open Elective,CFOC222M,Artificial Intelligence : Knowledge Representation And Reasoning,Online Course,1,0,0,0,0,3
260,Open Elective,CFOC223M,Privacy and Security in Online Social Media,Online Course,1,0,0,0,0,2
261,Open Elective,CFOC224M,Information Security - 5 - Secure Systems Engineering,Online Course,1,0,0,0,0,2
262,Open Elective,CFOC225M,Model Checking,Online Course,1,0,0,0,0,3
263,Open Elective,CFOC226M,Randomized Algorithms,Online Course,1,0,0,0,0,3
264,Open Elective,CFOC227M,GPU Architectures and Programming,Online Course,1,0,0,0,0,3
265,Open Elective,CFOC228M,Multi-Core Computer Architecture - Storage and Interconnects,Online Course,1,0,0,0,0,2
266,Open Elective,CFOC229M,Data Analytics with Python,Online Course,1,0,0,0,0,3
267,Open Elective,CFOC230M,Arithmetic Circuit Complexity,Online Course,1,0,0,0,0,3
268,Open Elective,CFOC231M,Google Cloud Computing Foundation Course,Online Course,1,0,0,0,0,2
269,Open Elective,CFOC232M,Consumer Behaviour,Online Course,1,0,0,0,0,2
270,Open Elective,CFOC233M,Enhancing Soft Skills and Personality,Online Course,1,0,0,0,0,2
271,Open Elective,CFOC234M,Introduction to Airplane Performance,Online Course,1,0,0,0,0,2
272,Open Elective,CFOC235M,Rocket Propulsion,Online Course,1,0,0,0,0,3
273,Open Elective,CFOC236M,Aircraft Maintenance,Online Course,1,0,0,0,0,1
274,Open Elective,CFOC237M,Sustainable Architecture,Online Course,1,0,0,0,0,3
275,Open Elective,CFOC238M,Introduction to History of Architecture in India,Online Course,1,0,0,0,0,1
276,Open Elective,CFOC239M,"Structure, Form, and Architecture : The Synergy",Online Course,1,0,0,0,0,2
277,Open Elective,CFOC240M,Interactomics : Basics and Applications,Online Course,1,0,0,0,0,3
278,Open Elective,CFOC241M,Introduction to Professional Scientific Communication,Online Course,1,0,0,0,0,1
279,Open Elective,CFOC242M,Material and Energy Balances,Online Course,1,0,0,0,0,3
