sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
168,Open Elective,BHUM204L,Industrial Psychology,Theory Only,1,3,0,0,0,3
169,Open Elective,BHUM205L,Development Economics,Theory Only,1,3,0,0,0,3
170,Open Elective,BHUM206L,International Economics,Theory Only,1,3,0,0,0,3
171,Open Elective,BHUM207L,Engineering Economics,Theory Only,1,3,0,0,0,3
172,Open Elective,BHUM208L,Economics of Strategy,Theory Only,1,3,0,0,0,3
173,Open Elective,BHUM209L,Game Theory,Theory Only,1,3,0,0,0,3
174,Open Elective,BHUM210E,Econometrics,Embedded Theory and Lab,1,2,0,2,0,3
175,Open Elective,BHUM211L,Behavioral Economics,Theory Only,1,3,0,0,0,3
176,Open Elective,BHUM212L,Mathematics for Economic Analysis,Theory Only,1,3,0,0,0,3
177,Open Elective,BHUM213L,Corporate Social Responsibility,Theory Only,1,3,0,0,0,3
178,Open Elective,BHUM214L,Political Science,Theory Only,1,3,0,0,0,3
179,Open Elective,BHUM215L,International Relations,Theory Only,1,3,0,0,0,3
180,Open Elective,BHUM216L,Indian Culture and Heritage,Theory Only,1,3,0,0,0,3
181,Open Elective,BHUM217L,Contemporary India,Theory Only,1,3,0,0,0,3
182,Open Elective,BHUM218L,Financial Management,Theory Only,1,3,0,0,0,3
183,Open Elective,BHUM219L,Principles of Accounting,Theory Only,1,3,0,0,0,3
184,Open Elective,BEEE102P,Basic Electrical and Electronics Engineering Lab,Lab Only,1,0,0,2,0,1
185,Open Elective,BHUM221L,"Economics of Money, Banking and Financial Markets",Theory Only,1,3,0,0,0,3
186,Open Elective,BHUM222L,Security Analysis and Portfolio Management,Theory Only,1,3,0,0,0,3
187,Open Elective,BHUM223L,"Options, Futures and other Derivatives",Theory Only,1,3,0,0,0,3
188,Open Elective,BHUM224L,Fixed Income Securities,Theory Only,1,3,0,0,0,3
189,Open Elective,BHUM225L,Personal Finance,Theory Only,1,3,0,0,0,3
190,Open Elective,BHUM226L,Corporate Finance,Theory Only,1,3,0,0,0,3
191,Open Elective,BHUM227L,Financial Statement Analysis,Theory Only,1,3,0,0,0,3
192,Open Elective,BHUM228L,Cost and Management Accounting,Theory Only,1,3,0,0,0,3
193,Open Elective,BHUM231L,Reproductive choices for a Sustainable Society,Theory Only,1,3,0,0,0,3
194,Open Elective,BHUM232L,Introduction to Sustainable Aging,Theory Only,1,3,0,0,0,3
195,Open Elective,BHUM233L,Environmental Psychology,Theory Only,1,3,0,0,0,3
196,Open Elective,BHUM234L,Indian Psychology,Theory Only,1,3,0,0,0,3
197,Open Elective,BHUM235E,Psychology of Wellness,Embedded Theory and Lab,1,2,0,2,0,3
